ExperimentID,ID,CGn,EGn,CGm,CGSD,EGm,EGSD,Type,d,Vd,SEd,Jdf,g,Vg,SEg
62,93,15,14,0.66,0.12,0.84,0.08,ST,1.752606406,0.191054362,0.437097658,0.971962617,1.703467908,0.180491221,0.424842583
63,94,52,55,0.64,0.21,0.61,0.2,SR,-0.14639995,0.037512741,0.193682063,0.992840095,-0.145351741,0.036977489,0.192295317
63,95,52,55,0.88,0.32,0.93,0.26,ST,0.172002321,0.037550834,0.193780376,0.992840095,0.170770801,0.037015038,0.192392927
64,96,19,19,12.95,7.67,12,8.12,ST,-0.120280487,0.105453518,0.324736075,0.979020979,-0.11775712,0.101075307,0.31792343
64,97,19,19,14.47,7.66,14.53,6.78,LT,0.00829486,0.105264063,0.324444237,0.979020979,0.008120842,0.100893718,0.317637715
65,98,17,17,5.65,1.87,6.53,1.77,SR,0.483334122,0.121082528,0.347969147,0.976377953,0.471916781,0.115429657,0.339749404
65,99,17,17,27,8.74,35.12,8.74,ST,0.929061785,0.130340526,0.361027044,0.976377953,0.907115444,0.124255436,0.352498846
66,100,13,13,5.77,1.74,7.23,1.69,SR,0.851221517,0.167780348,0.409609994,0.968421053,0.824340838,0.15735101,0.396674942
66,101,13,13,27.92,7.95,34,9.82,ST,0.680541564,0.162752631,0.403426116,0.968421053,0.659050778,0.152635819,0.390686344
67,102,14,13,4.86,2.38,6.85,0.8,SR,1.103397188,0.170897673,0.413397718,0.96969697,1.069960909,0.160697169,0.400870515
67,103,14,13,21.64,8.88,40.08,4.37,ST,2.603367049,0.273861278,0.523317569,0.96969697,2.524477138,0.257515104,0.507459461
68,104,14,14,6.07,1.77,7.57,1.09,SR,1.020502619,0.161454028,0.401813425,0.970873786,0.990779242,0.152185907,0.390110121
68,105,14,14,25.29,7.46,30.29,6.01,ST,0.738126188,0.152586255,0.390622906,0.970873786,0.716627367,0.14382718,0.37924554
69,106,10,11,5.64,1.12,6.8,2.04,SR,0.695158708,0.202414939,0.449905478,0.96,0.66735236,0.186545608,0.431909259
69,107,10,11,24.27,3.52,34.6,5.72,ST,2.149782349,0.300946333,0.548585757,0.96,2.063791055,0.27735214,0.526642326
71,110,20,20,8.03,1.95,8.5,2.23,SR&T,0.224377547,0.100629316,0.317221241,0.98013245,0.219919715,0.096670521,0.310918833
71,111,20,20,4.74,0.96,4.03,1.15,CL,-0.6702738,0.105615837,0.324985903,0.98013245,-0.656957102,0.10146087,0.318529229
74,118,26,26,79.45,10.198,77.08,10.963,ST,-0.223850745,0.077404896,0.278217353,0.984924623,-0.220476111,0.075088671,0.274023122
74,119,26,26,39.55,22.691,53.16,24.424,SR,0.577344904,0.080128146,0.283069153,0.984924623,0.568641212,0.077730432,0.278801779
75,120,24,24,87.13,10.092,87.22,10.092,ST,0.008917955,0.083334162,0.288676569,0.983606557,0.008771759,0.08062429,0.283944167
75,121,24,24,51.3,21.653,63.91,21.653,SR,0.582367339,0.086866164,0.294730663,0.983606557,0.572820334,0.084041438,0.289899013
76,122,60,60,46.27,5.41,47.22,3.84,SR,0.202509156,0.033504208,0.183041548,0.993630573,0.201219289,0.033078762,0.181875678
76,123,60,60,41.83,10.02,26.47,14.78,LR,-1.216504781,0.039499516,0.198744852,0.993630573,-1.208756343,0.03899794,0.197478961
77,124,15,15,9.1,5.5,10,1.9,SR,0.218732859,0.134130734,0.36623863,0.972972973,0.212821161,0.126978402,0.356340289
77,125,15,15,3.3,0.8,3.2,1.2,ST,-0.098058068,0.13349359,0.365367746,0.972972973,-0.09540785,0.126375232,0.355492942
77,126,15,15,4.8,2.6,5.9,1.5,SR,0.518257132,0.137809841,0.371227479,0.972972973,0.504250183,0.130461325,0.361194304
78,127,15,15,10.9,3.6,11.7,3.2,SR,0.234888088,0.134252874,0.366405341,0.972972973,0.228539761,0.127094028,0.356502493
78,128,15,15,3.3,0.8,3.7,0.6,ST,0.565685425,0.138666667,0.372379735,0.972972973,0.55039663,0.131272462,0.362315417
78,129,15,15,5.5,2.2,6.8,1.7,SR,0.661254443,0.140620957,0.37499461,0.972972973,0.643382701,0.133122542,0.36485962
79,130,15,15,11.9,3.5,11.3,3.3,SR,-0.17639431,0.133851916,0.365857781,0.972972973,-0.171626896,0.126714451,0.355969733
79,131,15,15,3.3,0.8,3.7,0.5,ST,0.599625351,0.139325843,0.373263771,0.972972973,0.583419261,0.131896488,0.363175561
79,132,15,15,6.5,2,6.6,1.8,SR,0.052558833,0.133379374,0.36521141,0.972972973,0.051138324,0.126267106,0.355340831
80,133,15,16,11,5.7,13.5,5.9,SR,0.430714511,0.132158844,0.363536579,0.973913043,0.41947848,0.125353538,0.354053016
80,134,15,16,3.1,1.3,3.3,1.3,ST,0.153846154,0.129548419,0.359928352,0.973913043,0.149832776,0.122877532,0.350538917
80,135,15,16,7,3.1,7.9,3.4,SR,0.276190322,0.130397007,0.361105257,0.973913043,0.268985357,0.123682424,0.35168512
81,136,30,30,0.66,0.13,0.71,0.09,ST,0.447213595,0.068333333,0.261406452,0.987012987,0.441405627,0.066569967,0.258011563
82,137,30,28,0.63,0.12,0.68,0.12,ST,0.416666667,0.070544267,0.265601707,0.986547085,0.411061286,0.068658982,0.262028589
83,138,24,24,878.31,354.43,782.69,350.79,CL,-0.271174176,0.084099327,0.28999884,0.983606557,-0.266728698,0.081364574,0.285244761
83,139,24,24,26.17,7.5,20.46,8.88,SR,-0.69473049,0.088360942,0.297255685,0.983606557,-0.683341466,0.085487609,0.292382641
83,140,24,24,28.13,16.62,32,18.87,SR,0.217652633,0.083826799,0.28952858,0.983606557,0.214084557,0.081100907,0.28478221
83,141,24,24,13.92,10.2,11.96,7.36,ST,-0.220371107,0.083839202,0.28955,0.983606557,-0.216758466,0.081112907,0.284803278
84,142,20,20,25.26,14.3,24.21,11.31,SR,-0.081446008,0.100082918,0.316358844,0.98013245,-0.079827876,0.096145618,0.310073569
84,143,20,20,37.55,18.17,39.06,16.17,ST,0.087795313,0.10009635,0.316380072,0.98013245,0.086051035,0.096158522,0.310094376
85,144,21,21,25.31,14.3,28.03,13.26,SR,0.197247129,0.095701267,0.309356214,0.981132075,0.193525485,0.092123968,0.303519304
85,145,21,21,35.42,14.58,41.88,19.23,ST,0.378571817,0.096944245,0.311358709,0.981132075,0.371428952,0.093320484,0.305484016
